Temp A (K)	Temp B (K)	Re voltage (mV)	Im voltage (mV)	Current (mA)	Phase	Frequency (Hz)
Temp A (K)	Temp B (K)	Re voltage (mV)	Im voltage (mV)	Current (mA)	Phase	Frequency (Hz)
297.150000	296.810000	0.005224	0.000059	0.510219	86.710000	30230
297.190000	296.790000	0.005225	0.000058	0.510219	86.710000	30230
297.180000	296.780000	0.005225	0.000058	0.510219	86.710000	30230
297.160000	296.770000	0.005225	0.000058	0.510219	86.710000	30230
297.170000	296.750000	0.005225	0.000058	0.510219	86.710000	30230
297.160000	296.750000	0.005225	0.000058	0.510219	86.710000	30230
297.150000	296.740000	0.005226	0.000058	0.510219	86.710000	30230
297.150000	296.720000	0.005226	0.000058	0.510219	86.710000	30230
297.150000	296.720000	0.005226	0.000058	0.510219	86.710000	30230
297.150000	296.700000	0.005226	0.000058	0.510219	86.710000	30230
297.150000	296.700000	0.005226	0.000058	0.510219	86.710000	30230
297.140000	296.680000	0.005226	0.000058	0.510219	86.710000	30230
297.130000	296.680000	0.005226	0.000058	0.510219	86.710000	30230
297.140000	296.650000	0.005226	0.000059	0.510219	86.710000	30230
297.130000	296.640000	0.005226	0.000059	0.510219	86.710000	30230
297.120000	296.630000	0.005226	0.000059	0.510219	86.710000	30230
297.110000	296.620000	0.005226	0.000058	0.510219	86.710000	30230
297.110000	296.610000	0.005226	0.000058	0.510219	86.710000	30230
297.120000	296.590000	0.005226	0.000058	0.510219	86.710000	30230
297.090000	296.590000	0.005226	0.000057	0.510219	86.710000	30230
297.110000	296.570000	0.005226	0.000058	0.510219	86.710000	30230
297.100000	296.560000	0.005227	0.000058	0.510219	86.710000	30230
297.090000	296.550000	0.005227	0.000058	0.510219	86.710000	30230
297.100000	296.540000	0.005227	0.000058	0.510219	86.710000	30230
297.080000	296.530000	0.005227	0.000058	0.510219	86.710000	30230
297.090000	296.510000	0.005226	0.000058	0.510219	86.710000	30230
297.080000	296.500000	0.005227	0.000058	0.510219	86.710000	30230
297.080000	296.490000	0.005227	0.000058	0.510219	86.710000	30230
297.090000	296.480000	0.005227	0.000059	0.510219	86.710000	30230
297.090000	296.460000	0.005227	0.000059	0.510171	86.710000	30230
