Temp A (K)	Temp B (K)	current (A)	voltage (V)	R (ohm)
13.739000	12.554000	5.000000E-6	8.146142E-5	16.292285
13.750000	12.444000	5.000000E-6	8.125912E-5	16.251823
13.743000	12.631000	5.000000E-6	8.103149E-5	16.206298
13.768000	13.144000	5.000000E-6	8.061281E-5	16.122561
13.811000	13.168000	5.000000E-6	8.061707E-5	16.123413
13.836000	12.928000	5.000000E-6	8.018432E-5	16.036864
13.858000	12.721000	5.000000E-6	7.998199E-5	15.996398
13.867000	12.690000	5.000000E-6	7.981198E-5	15.962397
13.878000	12.533000	5.000000E-6	7.929495E-5	15.858989
13.879000	12.755000	5.000000E-6	7.901254E-5	15.802508
13.903000	12.988000	5.000000E-6	7.860510E-5	15.721020
13.934000	13.165000	5.000000E-6	7.808384E-5	15.616769
13.977000	13.103000	5.000000E-6	7.819065E-5	15.638130
14.007000	12.867000	5.000000E-6	7.761462E-5	15.522923
14.018000	12.861000	5.000000E-6	7.735468E-5	15.470937
14.032000	12.688000	5.000000E-6	7.730128E-5	15.460256
14.031000	12.855000	5.000000E-6	7.650747E-5	15.301494
14.048000	13.104000	5.000000E-6	7.634030E-5	15.268061
14.077000	13.461000	5.000000E-6	7.617452E-5	15.234905
14.121000	13.267000	5.000000E-6	7.585278E-5	15.170557
14.146000	13.019000	5.000000E-6	7.568563E-5	15.137125
14.161000	12.900000	5.000000E-6	7.538632E-5	15.077265
14.171000	12.873000	5.000000E-6	7.488336E-5	14.976673
14.172000	12.977000	5.000000E-6	7.459111E-5	14.918223
14.186000	13.161000	5.000000E-6	7.462483E-5	14.924966
14.215000	13.591000	5.000000E-6	7.407266E-5	14.814532
14.259000	13.443000	5.000000E-6	7.381417E-5	14.762834
14.284000	13.344000	5.000000E-6	7.355424E-5	14.710848
14.300000	13.170000	5.000000E-6	7.322549E-5	14.645097
14.311000	13.052000	5.000000E-6	7.302035E-5	14.604071
14.315000	13.005000	5.000000E-6	7.277309E-5	14.554619
14.328000	13.243000	5.000000E-6	7.244714E-5	14.489428
14.351000	13.718000	5.000000E-6	7.184859E-5	14.369718
14.390000	13.735000	5.000000E-6	7.186125E-5	14.372250
14.416000	13.510000	5.000000E-6	7.146224E-5	14.292448
14.442000	13.314000	5.000000E-6	7.126976E-5	14.253952
14.454000	13.312000	5.000000E-6	7.107588E-5	14.215176
14.470000	13.180000	5.000000E-6	7.091291E-5	14.182582
14.476000	13.409000	5.000000E-6	7.062772E-5	14.125544
14.494000	13.854000	5.000000E-6	6.981702E-5	13.963404
14.531000	13.871000	5.000000E-6	6.968776E-5	13.937551
14.560000	13.652000	5.000000E-6	6.944187E-5	13.888374
14.585000	13.479000	5.000000E-6	6.931406E-5	13.862812
14.597000	13.458000	5.000000E-6	6.900074E-5	13.800148
14.612000	13.319000	5.000000E-6	6.885882E-5	13.771763
14.615000	13.565000	5.000000E-6	6.826876E-5	13.653753
14.634000	13.828000	5.000000E-6	6.835166E-5	13.670333
14.651000	13.992000	5.000000E-6	6.830951E-5	13.661901
14.686000	13.928000	5.000000E-6	6.771801E-5	13.543603
14.717000	13.847000	5.000000E-6	6.758453E-5	13.516906
14.737000	13.649000	5.000000E-6	6.722907E-5	13.445813
14.747000	13.513000	5.000000E-6	6.716727E-5	13.433454
14.751000	13.493000	5.000000E-6	6.701132E-5	13.402263
14.765000	13.642000	5.000000E-6	6.655048E-5	13.310096
14.786000	14.131000	5.000000E-6	6.619923E-5	13.239846
14.826000	14.192000	5.000000E-6	6.641841E-5	13.283681
14.854000	13.996000	5.000000E-6	6.568501E-5	13.137002
14.877000	13.809000	5.000000E-6	6.565271E-5	13.130541
14.891000	13.789000	5.000000E-6	6.510195E-5	13.020390
14.908000	13.673000	5.000000E-6	6.529863E-5	13.059727
14.915000	13.773000	5.000000E-6	6.469869E-5	12.939739
14.931000	13.986000	5.000000E-6	6.457368E-5	12.914735
14.955000	14.331000	5.000000E-6	6.406227E-5	12.812453
14.990000	14.165000	5.000000E-6	6.402292E-5	12.804584
15.018000	13.946000	5.000000E-6	6.367028E-5	12.734057
15.036000	13.943000	5.000000E-6	6.339631E-5	12.679262
15.048000	13.834000	5.000000E-6	6.333873E-5	12.667746
15.051000	13.893000	5.000000E-6	6.319682E-5	12.639364
15.064000	14.074000	5.000000E-6	6.284276E-5	12.568552
15.091000	14.465000	5.000000E-6	6.249011E-5	12.498022
15.132000	14.346000	5.000000E-6	6.226671E-5	12.453342
15.161000	14.269000	5.000000E-6	6.194779E-5	12.389558
15.182000	14.119000	5.000000E-6	6.181293E-5	12.362585
